"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"富蘭克林坦伯頓全球投資系列-美元短期票券基金美元A (Mdis)股","TFS2","美元","貨幣型","1994/06/01","RR1","月配","2026/05/22","9.82","0.87","1.82","3.96","14.38","N/A","0.19","5.92","N/A","2026/03/31","2558.00百萬(美元)","3",""
"安聯收益成長基金-AMg7月收總收益類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFS3","美元","平衡型","2020/02/03","RR3","月配","2026/05/22","8.9803","5.46","10.1","17.83","43.76","64.92","8.1","0.56","0.53","2026/03/31","53240.00百萬(美元)","3","僅供一生傳富/招財進保/世紀贏家商品連結"
"紐約梅隆美國市政基礎建設債券投資基金-美元A配息(基金之配息來源可能為本金)","TFS4","美元","市政債券","2021/10/29","RR2","半年配","2026/05/21","0.8088","-2.28","-0.54","5.49","10.41","N/A","4.86","0.25","1.71","2026/03/31","537.00百萬(美元)","4.5",""
"景順全球科技基金M8月配息型美元(基金之配息來源可能為本金)","TFS5","美元","跨國投資股票型全球市場","2023/10/27","RR4","月配","2026/05/22","19.12","19.29","28.62","52.92","N/A","132.03","20.18","0.63","1.35","2026/04/30","0.8653億","",""
"聯博多元資產收益組合基金-AI類型(美元)(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金)_(月配/現金)","TFS6","美元","全球組合型平衡型","2018/01/16","RR3","月配","2026/05/22","9.53","3.01","8.61","17.56","40.81","48.99","9.1","0.49","0.67","2026/04/30","286.1438億","2.5",""
"聯博多元資產收益組合基金-AI類型(新台幣)(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金)_(月配/現金)","TFS7","台幣","全球組合型平衡型","2018/01/16","RR3","月配","2026/05/22","6.49","2.72","7.97","18.03","36.31","43.11","8.32","0.55","0.58","2026/04/30","149.0207億","2.5",""
"聯博美國多重資產收益基金-AI類型(美元)(本基金得投資於非投資等級之高風險債券且配息來源可能為本金)","TFS8","美元","多重資產型","2021/01/26","RR3","月配","2026/05/22","12.2","3.06","4.98","12.91","41.24","33.26","9.29","0.35","0.63","2026/04/30","37.049億","2",""
"聯博美國多重資產收益基金-AI類型(新台幣)(本基金得投資於非投資等級之高風險債券且配息來源可能為本金)","TFS9","台幣","多重資產型","2021/01/26","RR3","月配","2026/05/22","8.22","2.75","4.38","13.39","34.64","28.83","8.3","0.41","0.56","2026/04/30","21.032億","2",""
"摩根基金 - 美國複合收益債券基金  -  JPM 美國複合收益債券（美元） -  A股（分派）(本基金之配息來源可能為本金)","TFSA","美元","債券型","2000/09/15","RR2","年配","2026/05/21","11.33","-2.24","-0.96","4.07","9.78","132.69","4.09","0.2","1.05","2026/03/31","4844.00百萬(美元)","3",""
"摩根基金－中國基金 - JPM 中國(美元)－ A股(分派)(本基金之配息來源可能為本金)","TFSC","美元","股票型","1994/07/04","RR5","年配","2026/05/21","76.68","-2.81","1.97","13.18","17.69","787.82","17.39","0.21","1.42","2026/03/31","3268.00百萬(美元)","3",""
"景順全球科技基金","TFSD","台幣","跨國投資股票型全球市場","1996/11/18","RR4","年配","2026/05/22","89.79","19.62","29.16","60.43","137.67","1266.92","17.54","0.8","1.15","2026/04/30","34.7749億","4",""
"摩根投資基金－多重收益基金 - JPM多重收益(美元對沖) - A股(每月派息)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/現金)","TFSH","美元","平衡型","2012/08/31","RR3","月配","2026/05/21","129.57","1.86","7.82","14.42","33.22","105.85","6.36","0.57","0.46","2026/03/31","19846.00百萬(美元)","3",""
"歐元貨幣帳戶(停泊標的)","TFSI","歐元","貨幣帳戶","-","RR1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"瀚亞投資-美國特優級債券基金Adm(美元月配)(本基金配息來源可能為本金)","TFSL","美元","公司債券","2009/06/01","RR2","月配","2026/05/22","9.616","-1.63","-0.28","5.76","11.65","52.49","4.66","0.28","1.23","2026/03/31","212.00百萬(美元)","2.5",""
"霸菱大東協基金-A類美元配息型","TFSM","美元","股票型","2008/08/01","RR5","年配","2026/05/22","297.15","0.89","13.74","18.87","34.64","191.35","13.86","0.36","0.87","2026/03/31","308.00百萬(美元)","4.5",""
"霸菱歐洲精選信託基金-A類歐元配息型","TFSN","歐元","中小型股","2001/08/15","RR4","半年配","2026/05/22","62.48","1.3","14.96","9.28","21.21","N/A","14.77","0.17","0.8","2026/03/31","442.00百萬(歐元)","1.5",""
"霸菱亞洲增長基金-A類 美元配息型","TFSR","美元","股票型","1987/02/03","RR5","年配","2026/05/22","194.43","15.09","37.87","62.31","89.92","N/A","16.61","0.86","1.11","2026/03/31","105.00百萬(美元)","4",""
"霸菱全球新興市場基金-A類美元配息型","TFSS","美元","股票型","1992/02/24","RR5","年配","2026/05/22","70.01","10.4","34.78","57.83","81.83","N/A","17.71","0.76","1.07","2026/03/31","656.00百萬(美元)","3.5",""
"日圓貨幣帳戶(停泊標的)","TFSU","日圓","貨幣帳戶","-","RR1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
